subject_id	subject_label	subject_category	subject_description	object_id	object_label	object_source	predicate_id	mapping_justification	confidence	comment
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C164529	Genetic Location Of Interest	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7684	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	EDAM:data_3002	Annotation track	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7680	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C181179	CDISC SDTM Genomic Findings Test Name Terminology	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7678	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C43784	obsolete Gene_In_Chromosomal_Location	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7668	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C79084	GISTIC	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7667	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C13445	Gene Feature	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7663	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C68754	Genomic Data and Sample Coding Category	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7654	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	MI:0467	reactome	MI	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7633	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C45377	Gene Relative Location	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7631	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C181178	CDISC SDTM Genomic Findings Test Code Terminology	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7626	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:3431000181105	Gene product function descriptors (qualifier value)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7429	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:900000000000516008	Annotation type reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7112	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:1292992004	Component annotation with string value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7073	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:1292996001	Member annotation with component value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7063	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:1292994003	Component annotation with component value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7055	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SO:0002076	incomplete_transcript_3UTR_variant	SO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7044	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:1296892000	Annotation type (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7021	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SO:0002077	incomplete_transcript_5UTR_variant	SO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7018	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	EFO:0005241	employment status	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7004	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:1292995002	Member annotation with string value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7002	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SO:0000712	gene_with_transcript_with_translational_frameshift	SO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6999	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SO:0001055	transcriptional_cis_regulatory_region	SO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6966	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:14872005	Gene function (observable entity)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6955	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	EFO:0000727	treatment	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6950	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	EFO:0005230	obsolete_anxiety	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6935	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	EFO:0007056	clinical treatment	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6903	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SNOMED:1295447006	Annotation attribute (attribute)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6890	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SO:0001739	gene_with_non_canonical_start_codon	SO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6889	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	PR:Q8R2K4-2	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L isoform m2 (mouse)	PR	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6878	
nmdc:FunctionalAnnotationTerm	FunctionalAnnotationTerm	class	Abstract grouping class for any term/descriptor that can be applied to a functional unit of a genome (protein, ncRNA, complex).	SO:0002188	functional_gene_region	SO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6875	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C158447	DHX58 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7221	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C200284	CRX wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7178	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C79768	LRIG1 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7152	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C54304	VWA5A wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7132	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	PR:P97474	pituitary homeobox 2 (mouse)	PR	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7077	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C154539	H3C8 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7063	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	PR:Q91981	homeobox protein OTX2 (zebrafish)	PR	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7058	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	PR:Q90267	homeobox protein OTX1 A (zebrafish)	PR	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7058	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C162960	H2BC17 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7054	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C162931	H2BC8 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7053	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	EDAM:data_3754	GO-term enrichment data	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7047	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	PR:P32242	homeobox protein OTX1 (human)	PR	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7044	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	VBO:0011424	Selale, Ethiopia (Horse)	VBO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7043	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C162862	H1-3 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7043	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C162865	H1-6 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7041	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C162850	H1-5 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7037	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C162899	H2AC11 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7036	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C154501	H3C4 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7033	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	PR:P80205	homeobox protein OTX1 (mouse)	PR	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7030	
nmdc:OrthologyGroup	OrthologyGroup	class	A set of genes or gene products in which all members are orthologous	NCIT:C154488	H3C1 wt Allele	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7030	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SNOMED:3431000181105	Gene product function descriptors (qualifier value)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7393	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EDAM:data_2103	Gene name (KEGG GENES)	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7083	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EDAM:data_3148	Gene family report	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7069	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EFO:0005241	employment status	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7060	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EDAM:data_3111	Processed microarray data	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7049	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EDAM:data_0927	Genetic linkage report	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7032	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EFO:0007874	gut microbiome measurement	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6990	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EFO:0000727	treatment	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6985	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SNOMED:3441000181103	Gene product metabolic activity descriptors	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6962	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EFO:0005230	obsolete_anxiety	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6961	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SNOMED:1292996001	Member annotation with component value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6950	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	ENM:8000009	hierarchical clustering	ENM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6949	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SNOMED:1295447006	Annotation attribute (attribute)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6937	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EXMO:0000158	agility	EXMO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6920	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SNOMED:1292995002	Member annotation with string value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6920	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EFO:0007056	clinical treatment	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6904	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SO:0000712	gene_with_transcript_with_translational_frameshift	SO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6903	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SNOMED:900000000000516008	Annotation type reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6899	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	SNOMED:1292992004	Component annotation with string value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6893	
nmdc:FunctionalAnnotation	FunctionalAnnotation	class	An assignment of a function term (e.g. reaction or pathway) that is executed by a gene product,  or which the gene product plays an active role in. Functional annotations can be assigned manually by c	EDAM:data_1791	Gene name (HGNC)	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.6891	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000480006	Attribute value type reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7878	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000491004	Attribute value (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7565	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	EFO:0005241	employment status	EFO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7412	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:1292992004	Component annotation with string value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7358	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:723576002	Attribute rule (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7314	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:1292994003	Component annotation with component value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7312	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000459000	Attribute type (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7306	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000458008	Attribute description (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7253	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000488004	Relationship refinability attribute value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7223	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000547002	Relationship inactivation indicator attribute value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7221	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000479008	Attribute order (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7191	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000490003	Description inactivation indicator attribute value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7180	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	T4FS:0000166	data table attribute (field)	T4FS	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7127	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	NCIT:C115679	Data Definitions for Analysis Dataset Document	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7125	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:900000000000489007	Concept inactivation indicator attribute value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7120	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:723603003	Attribute in group cardinality (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7113	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:723602008	Attribute cardinality (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7098	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:1292996001	Member annotation with component value reference set (foundation metadata concept)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7096	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:762706009	Concept model data attribute (attribute)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7085	
nmdc:AttributeValue	AttributeValue	class	The value for any value of a attribute for a sample. This object can hold both the un-normalized atomic value and the structured value	SNOMED:1295447006	Annotation attribute (attribute)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7065	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	SNOMED:118595003	Quantity content (property) (qualifier value)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.8042	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	SNOMED:118596002	Quantity fraction (property) (qualifier value)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7999	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	SNOMED:118597006	Quantity rate (property) (qualifier value)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7996	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	SNOMED:118594004	Quantity concentration (property) (qualifier value)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7930	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	NCIT:C95676	Physical Quantity to Physical Quantity Ratio Data Type	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7901	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	NCIT:C95824	Quantity Data Type	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7892	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	ONTONEO:00000173	quantity measurement datum	ONTONEO	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7881	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	SNOMED:246205007	Quantity (attribute)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7858	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	NCIT:C95677	Physical Quantity to Physical Quantity Time Ratio Data Type	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7839	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	OM:QuantityOfDimensionOneUnit	quantity of dimension one unit	OM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7834	
nmdc:QuantityValue	QuantityValue	class	A simple quantity, e.g. 2cm	SNOMED:1144650008	Measured quantity of intake of simple carbohydrate in 24 hours (observable entity)	SNOMED	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7787	
