slot	attribute	old_val	new_val
ceil_thermal_mass	is_a	attribute	core field
ceil_type	is_a	attribute	core field
ceil_type	range	text value	ceil_type_enum
ceil_water_mold	is_a	attribute	core field
ceil_water_mold	range	text value	string
chem_administration	is_a	attribute	core field
chem_administration	multivalued	False	True
chem_administration	range	controlled term value	string
chem_mutagen	is_a	attribute	core field
chem_mutagen	multivalued	False	True
chem_mutagen	range	quantity value	string
chem_oxygen_dem	is_a	attribute	core field
chem_treatment	description	List of chemical compounds administered upstream the sampling location where sampling occurred (e.g. Glycols, H2S scavenger, corrosion and scale inhibitors, demulsifiers, and other production chemicals etc.). The commercial name of the product and name of the supplier should be provided.  The date of administration should also be included	List of chemical compounds administered upstream the sampling location where sampling occurred (e.g. Glycols, H2S scavenger, corrosion and scale inhibitors, demulsifiers, and other production chemicals etc.). The commercial name of the product and name of the supplier should be provided. The date of administration should also be included
chem_treatment	is_a	attribute	core field
chem_treatment	range	text value	string
chloride	is_a	attribute	core field
chlorophyll	is_a	attribute	core field
climate_environment	is_a	attribute	core field
climate_environment	multivalued	False	True
climate_environment	range	text value	string
collection_date	is_a	attribute	environment field
collection_date	range	timestamp value	date
conduc	is_a	attribute	core field
cool_syst_id	is_a	attribute	core field
cool_syst_id	range	text value	integer
crop_rotation	is_a	attribute	core field
crop_rotation	range	text value	string
cult_root_med	is_a	attribute	core field
cult_root_med	range	text value	string
cur_land_use	is_a	attribute	core field
cur_land_use	range	text value	cur_land_use_enum
cur_vegetation	is_a	attribute	core field
cur_vegetation	range	text value	string
cur_vegetation_meth	description	Reference or method used in vegetation classification 	Reference or method used in vegetation classification
cur_vegetation_meth	is_a	attribute	core field
cur_vegetation_meth	range	text value	string
date_last_rain	is_a	attribute	core field
date_last_rain	range	timestamp value	date
density	is_a	attribute	core field
depos_env	description	Main depositional environment (https://en.wikipedia.org/wiki/Depositional_environment). If 'other' is specified, please propose entry in 'additional info' field	"Main depositional environment (https://en.wikipedia.org/wiki/Depositional_environment). If ""other"" is specified, please propose entry in ""additional info"" field"
depos_env	is_a	attribute	core field
depos_env	range	text value	depos_env_enum
depth	description	Depth is defined as the vertical distance below local surface, e.g. For sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples	The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples.
depth	is_a	attribute	environment field
dew_point	is_a	attribute	core field
diether_lipids	is_a	attribute	core field
diether_lipids	multivalued	False	True
diether_lipids	range	quantity value	string
diss_carb_dioxide	is_a	attribute	core field
diss_hydrogen	is_a	attribute	core field
diss_inorg_carb	is_a	attribute	core field
diss_inorg_nitro	description	Concentration of dissolved inorganic nitrogen 	Concentration of dissolved inorganic nitrogen
diss_inorg_nitro	is_a	attribute	core field
diss_inorg_phosp	is_a	attribute	core field
diss_iron	is_a	attribute	core field
diss_org_carb	is_a	attribute	core field
diss_org_nitro	is_a	attribute	core field
diss_oxygen	is_a	attribute	core field
diss_oxygen_fluid	is_a	attribute	core field
door_comp_type	is_a	attribute	core field
door_comp_type	range	text value	door_comp_type_enum
door_cond	is_a	attribute	core field
door_cond	range	text value	door_cond_enum
door_direct	is_a	attribute	core field
door_direct	range	text value	door_direct_enum
door_loc	is_a	attribute	core field
door_loc	range	text value	door_loc_enum
door_mat	is_a	attribute	core field
door_mat	range	text value	door_mat_enum
door_move	is_a	attribute	core field
door_move	range	text value	door_move_enum
door_size	is_a	attribute	core field
door_type	is_a	attribute	core field
door_type	range	text value	door_type_enum
door_type_metal	is_a	attribute	core field
door_type_metal	range	text value	door_type_metal_enum
door_type_wood	is_a	attribute	core field
door_type_wood	range	text value	door_type_wood_enum
door_water_mold	is_a	attribute	core field
door_water_mold	range	text value	string
down_par	is_a	attribute	core field
drainage_class	is_a	attribute	core field
drainage_class	range	text value	drainage_class_enum
drawings	is_a	attribute	core field
drawings	range	text value	drawings_enum
efficiency_percent	is_a	attribute	core field
elev	description	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.
elev	is_a	attribute	environment field
elevator	is_a	attribute	core field
elevator	range	text value	integer
emulsions	is_a	attribute	core field
emulsions	multivalued	False	True
emulsions	range	quantity value	string
env_broad_scale	description	In this field, report which major environmental system your sample or specimen came from. The systems identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. were you in the desert or a rainforest?). We recommend using subclasses of ENVOUs biome class: http://purl.obolibrary.org/obo/ENVO_00000428. Format (one term): termLabel [termID], Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a water sample from the photic zone in middle of the Atlantic Ocean, consider: oceanic epipelagic zone biome [ENVO:01000033]. Example: Annotating a sample from the Amazon rainforest consider: tropical moist broadleaf forest biome [ENVO:01000228]. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS
env_broad_scale	is_a	attribute	environment field
env_broad_scale	range	controlled term value	string
env_local_scale	description	In this field, report the entity or entities which are in your sample or specimenUs local vicinity and which you believe have significant causal influences on your sample or specimen. Please use terms that are present in ENVO and which are of smaller spatial grain than your entry for env_broad_scale. Format (one term): termLabel [termID]; Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336]. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS.
env_local_scale	is_a	attribute	environment field
env_local_scale	range	controlled term value	string
env_medium	description	In this field, report which environmental material or materials (pipe separated) immediately surrounded your sample or specimen prior to sampling, using one or more subclasses of ENVOUs environmental material class: http://purl.obolibrary.org/obo/ENVO_00010483. Format (one term): termLabel [termID]; Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air ENVO_00002005. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).
env_medium	is_a	attribute	environment field
env_medium	range	controlled term value	string
escalator	is_a	attribute	core field
escalator	range	text value	integer
ethylbenzene	is_a	attribute	core field
exp_duct	is_a	attribute	core field
exp_pipe	is_a	attribute	core field
exp_pipe	range	quantity value	integer
experimental_factor	is_a	attribute	investigation field
experimental_factor	range	controlled term value	string
ext_door	is_a	attribute	core field
ext_door	range	text value	integer
ext_wall_orient	is_a	attribute	core field
ext_wall_orient	range	text value	ext_wall_orient_enum
ext_window_orient	is_a	attribute	core field
ext_window_orient	range	text value	ext_window_orient_enum
extreme_event	is_a	attribute	core field
extreme_event	range	timestamp value	date
fao_class	is_a	attribute	core field
fao_class	range	text value	fao_class_enum
fertilizer_regm	is_a	attribute	core field
fertilizer_regm	multivalued	False	True
fertilizer_regm	range	quantity value	string
field	is_a	attribute	core field
field	range	text value	string
filter_type	is_a	attribute	core field
filter_type	multivalued	False	True
filter_type	range	text value	filter_type_enum
fire	is_a	attribute	core field
fire	range	timestamp value	date
fireplace_type	is_a	attribute	core field
fireplace_type	range	text value	string
flooding	is_a	attribute	core field
flooding	range	timestamp value	date
floor_age	is_a	attribute	core field
floor_area	is_a	attribute	core field
floor_cond	is_a	attribute	core field
floor_cond	range	text value	floor_cond_enum
floor_count	is_a	attribute	core field
floor_count	range	text value	integer
floor_finish_mat	is_a	attribute	core field
floor_finish_mat	range	text value	floor_finish_mat_enum
floor_struc	is_a	attribute	core field
floor_struc	range	text value	floor_struc_enum
floor_thermal_mass	is_a	attribute	core field
floor_water_mold	is_a	attribute	core field
floor_water_mold	range	text value	floor_water_mold_enum
fluor	is_a	attribute	core field
freq_clean	description	The number of times the building is cleaned per week	The number of times the sample location is cleaned. Frequency of cleaning might be on a Daily basis, Weekly, Monthly, Quarterly or Annually.
freq_clean	is_a	attribute	core field
freq_clean	range	quantity value	freq_clean_enum
freq_cook	is_a	attribute	core field
freq_cook	range	quantity value	integer
fungicide_regm	description	Information about treatment involving use of fungicides; should include the name of fungicide, amount administered,  treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens	Information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens
fungicide_regm	is_a	attribute	core field
fungicide_regm	multivalued	False	True
fungicide_regm	range	quantity value	string
furniture	is_a	attribute	core field
furniture	range	text value	furniture_enum
gaseous_environment	is_a	attribute	core field
gaseous_environment	multivalued	False	True
gaseous_environment	range	quantity value	string
gaseous_substances	is_a	attribute	core field
gaseous_substances	multivalued	False	True
gaseous_substances	range	quantity value	string
gender_restroom	is_a	attribute	core field
gender_restroom	range	text value	gender_restroom_enum
genetic_mod	is_a	attribute	core field
genetic_mod	range	text value	string
geo_loc_name	description	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)
geo_loc_name	is_a	attribute	environment field
geo_loc_name	range	text value	string
glucosidase_act	is_a	attribute	core field
gravidity	is_a	attribute	core field
gravidity	range	text value	string
gravity	is_a	attribute	core field
gravity	multivalued	False	True
gravity	range	quantity value	string
growth_facil	is_a	attribute	core field
growth_facil	range	controlled term value	string
growth_habit	is_a	attribute	core field
growth_habit	range	text value	growth_habit_enum
growth_hormone_regm	is_a	attribute	core field
growth_hormone_regm	multivalued	False	True
growth_hormone_regm	range	quantity value	string
hall_count	is_a	attribute	core field
hall_count	range	text value	integer
handidness	is_a	attribute	core field
handidness	range	text value	handidness_enum
hc_produced	description	Main hydrocarbon type produced from resource (i.e. Oil, gas, condensate, etc). If 'other' is specified, please propose entry in 'additional info' field	"Main hydrocarbon type produced from resource (i.e. Oil, gas, condensate, etc). If ""other"" is specified, please propose entry in ""additional info"" field"
hc_produced	is_a	attribute	core field
hc_produced	range	text value	hc_produced_enum
hcr	description	Main Hydrocarbon Resource type. The term 'Hydrocarbon Resource' HCR defined as a natural environmental feature containing large amounts of hydrocarbons at high concentrations potentially suitable for commercial exploitation.  This term should not be confused with the Hydrocarbon Occurrence term which also includes hydrocarbon-rich environments with currently limited commercial interest such as seeps, outcrops, gas hydrates etc. If 'other' is specified, please propose entry in 'additional info' field	"Main Hydrocarbon Resource type. The term ""Hydrocarbon Resource"" HCR defined as a natural environmental feature containing large amounts of hydrocarbons at high concentrations potentially suitable for commercial exploitation. This term should not be confused with the Hydrocarbon Occurrence term which also includes hydrocarbon-rich environments with currently limited commercial interest such as seeps, outcrops, gas hydrates etc. If ""other"" is specified, please propose entry in ""additional info"" field"
hcr	is_a	attribute	core field
hcr	range	text value	hcr_enum
hcr_fw_salinity	is_a	attribute	core field
hcr_geol_age	description	Geological age of hydrocarbon resource (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If 'other' is specified, please propose entry in 'additional info' field	"Geological age of hydrocarbon resource (Additional info: https://en.wikipedia.org/wiki/Period_(geology)). If ""other"" is specified, please propose entry in ""additional info"" field"
hcr_geol_age	is_a	attribute	core field
hcr_geol_age	range	text value	hcr_geol_age_enum
hcr_pressure	description	Original pressure of the hydrocarbon resource 	Original pressure of the hydrocarbon resource
hcr_pressure	is_a	attribute	core field
hcr_pressure	range	quantity value	string
hcr_temp	is_a	attribute	core field
hcr_temp	range	quantity value	string
heat_cool_type	is_a	attribute	core field
heat_cool_type	multivalued	False	True
heat_cool_type	range	text value	heat_cool_type_enum
heat_deliv_loc	is_a	attribute	core field
heat_deliv_loc	range	text value	heat_deliv_loc_enum
heat_system_id	is_a	attribute	core field
heat_system_id	range	text value	integer
heavy_metals	description	Heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations	Heavy metals present in the sequenced sample and their concentrations. For multiple heavy metals and concentrations, add multiple copies of this field.
heavy_metals	is_a	attribute	core field
heavy_metals	multivalued	False	True
heavy_metals	range	quantity value	string
heavy_metals_meth	is_a	attribute	core field
heavy_metals_meth	range	text value	string
height_carper_fiber	is_a	attribute	core field
herbicide_regm	is_a	attribute	core field
herbicide_regm	multivalued	False	True
herbicide_regm	range	quantity value	string
horizon_meth	is_a	attribute	core field
horizon_meth	range	text value	string
host_age	is_a	attribute	core field
host_body_habitat	is_a	attribute	core field
host_body_habitat	range	text value	string
host_body_product	is_a	attribute	core field
host_body_product	range	controlled term value	string
host_body_site	is_a	attribute	core field
host_body_site	range	controlled term value	string
host_body_temp	is_a	attribute	core field
host_color	is_a	attribute	core field
host_color	range	text value	string
host_common_name	description	Common name of the host, e.g. Human	Common name of the host.
host_common_name	is_a	attribute	core field
host_common_name	range	text value	string
host_diet	is_a	attribute	core field
host_diet	multivalued	False	True
host_diet	range	text value	string
host_dry_mass	is_a	attribute	core field
host_genotype	is_a	attribute	core field
host_genotype	range	text value	string
host_growth_cond	is_a	attribute	core field
host_growth_cond	range	text value	string
host_height	is_a	attribute	core field
host_last_meal	is_a	attribute	core field
host_last_meal	multivalued	False	True
host_last_meal	range	text value	string
host_length	is_a	attribute	core field
host_life_stage	is_a	attribute	core field
host_life_stage	range	text value	string
host_phenotype	is_a	attribute	core field
host_phenotype	range	controlled term value	string
host_sex	description	Physical sex of the host	Gender or physical sex of the host.
host_sex	is_a	attribute	core field
host_sex	range	text value	host_sex_enum
host_shape	description	Morphological shape of host 	Morphological shape of host
host_shape	is_a	attribute	core field
host_shape	range	text value	string
host_subject_id	description	A unique identifier by which each subject can be referred to, de-identified, e.g. #131	A unique identifier by which each subject can be referred to, de-identified.
host_subject_id	is_a	attribute	core field
host_subject_id	range	text value	string
host_substrate	description	The growth substrate of the host 	The growth substrate of the host.
host_substrate	is_a	attribute	core field
host_substrate	range	text value	string
host_taxid	is_a	attribute	core field
host_taxid	range	text value	string
host_tot_mass	is_a	attribute	core field
host_wet_mass	is_a	attribute	core field
humidity	is_a	attribute	core field
humidity_regm	is_a	attribute	core field
humidity_regm	multivalued	False	True
humidity_regm	range	quantity value	string
indoor_space	is_a	attribute	core field
indoor_space	range	text value	indoor_space_enum
indoor_surf	is_a	attribute	core field
indoor_surf	range	text value	indoor_surf_enum
indust_eff_percent	is_a	attribute	core field
inorg_particles	is_a	attribute	core field
inorg_particles	multivalued	False	True
inorg_particles	range	quantity value	string
inside_lux	is_a	attribute	core field
int_wall_cond	is_a	attribute	core field
int_wall_cond	range	text value	int_wall_cond_enum
iw_bt_date_well	description	Injection water breakthrough date per well following a  secondary and/or tertiary recovery	Injection water breakthrough date per well following a secondary and/or tertiary recovery
iw_bt_date_well	is_a	attribute	core field
iw_bt_date_well	range	timestamp value	date
iwf	is_a	attribute	core field
last_clean	is_a	attribute	core field
last_clean	range	timestamp value	date
lat_lon	is_a	attribute	environment field
lat_lon	range	geolocation value	string
light_intensity	is_a	attribute	core field
light_regm	is_a	attribute	core field
light_regm	range	quantity value	string
light_type	is_a	attribute	core field
light_type	multivalued	False	True
light_type	range	text value	light_type_enum
link_class_info	is_a	attribute	core field
link_class_info	range	text value	string
link_climate_info	is_a	attribute	core field
link_climate_info	range	text value	string
lithology	description	Hydrocarbon resource main lithology (Additional information: http://petrowiki.org/Lithology_and_rock_type_determination). If 'other' is specified, please propose entry in 'additional info' field	"Hydrocarbon resource main lithology (Additional information: http://petrowiki.org/Lithology_and_rock_type_determination). If ""other"" is specified, please propose entry in ""additional info"" field"
lithology	is_a	attribute	core field
lithology	range	text value	lithology_enum
local_class	is_a	attribute	core field
local_class	range	text value	string
local_class_meth	description	Reference or method used in determining the local soil classification 	Reference or method used in determining the local soil classification
local_class_meth	is_a	attribute	core field
local_class_meth	range	text value	string
magnesium	is_a	attribute	core field
max_occup	is_a	attribute	core field
max_occup	range	quantity value	integer
mean_frict_vel	is_a	attribute	core field
mean_peak_frict_vel	is_a	attribute	core field
mech_struc	is_a	attribute	core field
mech_struc	range	text value	mech_struc_enum
mechanical_damage	is_a	attribute	core field
mechanical_damage	multivalued	False	True
mechanical_damage	range	text value	string
methane	is_a	attribute	core field
microbial_biomass	is_a	attribute	core field
mineral_nutr_regm	is_a	attribute	core field
mineral_nutr_regm	multivalued	False	True
mineral_nutr_regm	range	quantity value	string
misc_param	is_a	attribute	core field
misc_param	multivalued	False	True
misc_param	range	quantity value	string
n_alkanes	is_a	attribute	core field
n_alkanes	multivalued	False	True
n_alkanes	range	quantity value	string
nitrate	is_a	attribute	core field
nitrite	is_a	attribute	core field
nitro	is_a	attribute	core field
number_pets	is_a	attribute	core field
number_pets	range	quantity value	integer
number_plants	is_a	attribute	core field
number_plants	range	quantity value	integer
number_resident	is_a	attribute	core field
number_resident	range	quantity value	integer
occup_density_samp	is_a	attribute	core field
occup_density_samp	range	quantity value	double
occup_document	is_a	attribute	core field
occup_document	range	text value	occup_document_enum
occup_samp	is_a	attribute	core field
occup_samp	range	quantity value	integer
org_carb	is_a	attribute	core field
org_matter	description	Concentration of organic matter 	Concentration of organic matter
org_matter	is_a	attribute	core field
org_nitro	is_a	attribute	core field
org_particles	is_a	attribute	core field
org_particles	multivalued	False	True
org_particles	range	quantity value	string
organism_count	is_a	attribute	core field
organism_count	multivalued	False	True
organism_count	range	quantity value	organism_count_enum
owc_tvdss	is_a	attribute	core field
oxy_stat_samp	is_a	attribute	core field
oxy_stat_samp	range	text value	oxy_stat_samp_enum
oxygen	is_a	attribute	core field
part_org_carb	is_a	attribute	core field
part_org_nitro	is_a	attribute	core field
particle_class	is_a	attribute	core field
particle_class	multivalued	False	True
particle_class	range	quantity value	string
permeability	is_a	attribute	core field
permeability	range	quantity value	string
perturbation	is_a	attribute	core field
perturbation	multivalued	False	True
perturbation	range	text value	string
pesticide_regm	is_a	attribute	core field
pesticide_regm	multivalued	False	True
pesticide_regm	range	quantity value	string
petroleum_hydrocarb	is_a	attribute	core field
ph	is_a	attribute	core field
ph	range	quantity value	double
ph_meth	is_a	attribute	core field
ph_meth	range	text value	string
ph_regm	is_a	attribute	core field
ph_regm	multivalued	False	True
ph_regm	range	text value	string
phaeopigments	is_a	attribute	core field
phaeopigments	multivalued	False	True
phaeopigments	range	quantity value	string
phosphate	is_a	attribute	core field
phosplipid_fatt_acid	is_a	attribute	core field
phosplipid_fatt_acid	multivalued	False	True
phosplipid_fatt_acid	range	quantity value	string
photon_flux	is_a	attribute	core field
plant_growth_med	is_a	attribute	core field
plant_growth_med	range	controlled term value	plant_growth_med_enum
plant_product	is_a	attribute	core field
plant_product	range	text value	string
plant_sex	is_a	attribute	core field
plant_sex	range	text value	plant_sex_enum
plant_struc	is_a	attribute	core field
plant_struc	range	controlled term value	string
pollutants	is_a	attribute	core field
pollutants	multivalued	False	True
pollutants	range	quantity value	string
porosity	is_a	attribute	core field
porosity	range	quantity value	string
potassium	is_a	attribute	core field
pour_point	description	Temperature at which a liquid becomes semi solid and loses its flow characteristics. In crude oil a highB pour pointB is generally associated with a high paraffin content, typically found in crude deriving from a larger proportion of plant material.  (soure: https://en.wikipedia.org/wiki/pour_point)	Temperature at which a liquid becomes semi solid and loses its flow characteristics. In crude oil a high¬†pour point¬†is generally associated with a high paraffin content, typically found in crude deriving from a larger proportion of plant material. (soure: https://en.wikipedia.org/wiki/pour_point)
pour_point	is_a	attribute	core field
pre_treatment	is_a	attribute	core field
pre_treatment	range	text value	string
pressure	is_a	attribute	core field
previous_land_use	is_a	attribute	core field
previous_land_use	range	text value	string
primary_prod	is_a	attribute	core field
primary_treatment	is_a	attribute	core field
primary_treatment	range	text value	string
prod_rate	is_a	attribute	core field
prod_start_date	is_a	attribute	core field
prod_start_date	range	timestamp value	date
profile_position	is_a	attribute	core field
profile_position	range	text value	profile_position_enum
quad_pos	is_a	attribute	core field
quad_pos	range	text value	quad_pos_enum
radiation_regm	is_a	attribute	core field
radiation_regm	multivalued	False	True
